STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM,,,,,
ALABAMA,Cherokee County Sheriff's Office,County,Cherokee County,Warrant Service Officer,2025-06-25 00:00:00,link pending,,,,,,
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Warrant Service Officer,2025-05-08 00:00:00,link,,,,,,
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Jail Enforcement Model,2025-05-08 00:00:00,link,,,,,,
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Task Force Model,2025-07-02 00:00:00,link,,,,,,
ALABAMA,Crenshaw County Sheriff's Office,County,Crenshaw County,Warrant Service Officer,2025-04-16 00:00:00,link,,,,,,
ALABAMA,Elmore County Sheriff's Office,County,Elmore County,Jail Enforcement Model,2025-03-17 00:00:00,link,,,,,,
ALABAMA,Etowah County Sheriff's Office,County,Etowah County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
ALABAMA,Franklin County Sheriff's Office,County,Franklin County,Warrant Service Officer,2025-03-26 00:00:00,link,,,,,,
ALABAMA,Franklin County Sheriff's Office,County,Frankin County,Jail Enforcement Model,2025-06-11 00:00:00,link,,,,,,
ALABAMA,Henry County Sheriff's Office,County,Henry County,Warrant Service Officer,2025-03-17 00:00:00,link,,,,,,
ALABAMA,Henry County Sheriff's Office,County,Henry County,Jail Enforcement Model,2025-03-17 00:00:00,link,,,,,,
ALABAMA,Houston County Sheriff's Office,County,Houston County,Jail Enforcement Model,2025-07-07 00:00:00,link,,,,,,
ALABAMA,Lauderdale County Sheriff's Office,County,Lauderdale County,Warrant Service Officer,2025-06-12 00:00:00,link,,,,,,
ALABAMA,Lauderdale County Sheriff's Office,County,Lauderdale County,Jail Enforcement Model,2025-06-12 00:00:00,link,,,,,,
ALABAMA,Lawrence County Sheriff's Office,County,Lawrence County,Task Force Model,2025-06-18 00:00:00,link,,,,,,
ALABAMA,Lawrence County Sheriff's Office,County,Lawrence County,Warrant Service Officer,2025-06-30 00:00:00,link,,,,,,
ALABAMA,Lawrence County Sheriff's Office,County,Lawrence County,Jail Enforcement Model,2025-05-20 00:00:00,link pending,,,,,,
ALABAMA,Level Plains Police Department,Municipality,#N/A,Task Force Model,2025-06-18 00:00:00,link,,,,,,
ALABAMA,Limestone County Sheriff's Office,County,Limestone County,Task Force Model,2025-06-11 00:00:00,link,,,,,,
ALABAMA,Limestone County Sheriff's Office,County,Limestone County,Warrant Service Officer,2025-05-22 00:00:00,link,,,,,,
ALABAMA,Marion County Sheriff's Office,County,Marion County,Task Force Model,2025-06-12 00:00:00,link,,,,,,
ALABAMA,Marion County Sheriff's Office,County,Marion County,Jail Enforcement Model,2025-07-23 00:00:00,link,,,,,,
ALABAMA,Marion County Sheriff's Office,County,Marion County,Warrant Service Officer,2025-07-23 00:00:00,link,,,,,,
ALABAMA,Mobile County Sheriff's Office ,County ,Mobile County,Task Force Model,2025-07-23 00:00:00,link,,,,,,
ALABAMA,Pike County Sheriff's Office,County,Pike County,Jail Enforcement Model,2025-05-20 00:00:00,link pending,,,,,,
ALASKA,Alaska Department of Corrections,State Agency,#N/A,Warrant Service Officer,2020-07-24 00:00:00,link,,,,,,
ALASKA,Kodiak Police Department,Municipality,#N/A,Warrant Service Officer,2020-07-20 00:00:00,link,,,,,,
ARIZONA,Arizona Department of Corrections,State Agency,#N/A,Jail Enforcement Model,2020-06-16 00:00:00,link,,,,,,
ARIZONA,Cochise County Sheriff's Office ,County ,Cochise County,Warrant Service Officer,8/282025,link pending,,,,,,
ARIZONA,La Paz County Sheriff's Office,County,La Paz County,Warrant Service Officer,2020-02-27 00:00:00,link,,,,,,
ARIZONA,La Paz County Sheriff's Office,County,La Paz County,Jail Enforcement Model,2020-03-12 00:00:00,link,,,,,,
ARIZONA,Mesa Police Department,Municipality,#N/A,Jail Enforcement Model,2020-06-08 00:00:00,link,,,,,,
ARIZONA,Navajo County Sheriff's Office,County,Navajo County,Warrant Service Officer,2025-04-16 00:00:00,link,,,,,,
ARIZONA,Pinal County Sheriff's Office,County,Pinal County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
ARIZONA,Pinal County Sheriff's Office,County,Pinal County,Task Force Model,2025-08-28 00:00:00,link pending,,,,,,
ARIZONA,Yavapai County Sheriff's Office,County,Yavapai County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
ARIZONA,Yuma County Sheriff's Office,County,Yuma County,Warrant Service Officer,2025-06-03 00:00:00,link,,,,,,
ARKANSAS,Arkansas State Police Department,State Agency,#N/A,Task Force Model,2025-07-07 00:00:00,link,,,,,,
ARKANSAS,Baxter County Sheriff's Office ,County,Baxter County,Warrant Service Officer,2025-07-15 00:00:00,link,,,,,,
ARKANSAS,Baxter County Sheriff's Office ,County,Baxter County,Task Force Model,2025-07-15 00:00:00,link,,,,,,
ARKANSAS,Benton County Sheriff's Office,County,Benton County,Jail Enforcement Model,2020-06-30 00:00:00,link,,,,,,
ARKANSAS,Craighead County Sheriff's Office,County,Craighead County,Jail Enforcement Model,2020-06-18 00:00:00,link,,,,,,
ARKANSAS,Crawford County Sheriff's Office,County ,Crawford County,Warrant Service Officer,2025-07-25 00:00:00,link,,,,,,
ARKANSAS,Faulkner County Sheriff's Office ,County ,Faulkner County,Warrant Service Officer,2025-08-28 00:00:00,link pending,,,,,,
ARKANSAS,Fordyce Police Department ,Municipality,#NA,Task Force Model,2025-08-28 00:00:00,link pending,,,,,,
ARKANSAS,Hampton Police Department,Municipality,#N/A,Task Force Model,2025-06-30 00:00:00,link,,,,,,
ARKANSAS,Johnson County Sheriff's Office,County,Johnson County ,Warrant Service Officer,2025-07-18 00:00:00,link,,,,,,
ARKANSAS,Lafayette County Sheriff's Office ,County,Layafette County,Warrant Service Officer,2025-07-11 00:00:00,link,,,,,,
