STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM,,,,,,ADDRESS,LATITUDE,LONGITUDE
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Warrant Service Officer,2025-05-08 00:00:00,link,,,,,,,"Colbert County, ALABAMA",34.6473396,-87.7921769
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Jail Enforcement Model,2025-05-08 00:00:00,link,,,,,,,"Colbert County, ALABAMA",34.6473396,-87.7921769
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Task Force Model,2025-07-02 00:00:00,link,,,,,,,"Colbert County, ALABAMA",34.6473396,-87.7921769
ALABAMA,Crenshaw County Sheriff's Office,County,Crenshaw County,Warrant Service Officer,2025-04-16 00:00:00,link,,,,,,,"Crenshaw County, ALABAMA",31.6809362,-86.3244009
ALABAMA,Elmore County Sheriff's Office,County,Elmore County,Jail Enforcement Model,2025-03-17 00:00:00,link,,,,,,,"Elmore County, ALABAMA",32.5801231,-86.125195
ALABAMA,Etowah County Sheriff's Office,County,Etowah County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,,"Etowah County, ALABAMA",34.0371404,-86.022147
ALABAMA,Franklin County Sheriff's Office,County,Franklin County,Warrant Service Officer,2025-03-26 00:00:00,link,,,,,,,"Franklin County, ALABAMA",34.440962,-87.8339064
ALABAMA,Franklin County Sheriff's Office,County,Frankin County,Jail Enforcement Model,2025-06-11 00:00:00,link,,,,,,,"Frankin County, ALABAMA",,
ALABAMA,Henry County Sheriff's Office,County,Henry County,Warrant Service Officer,2025-03-17 00:00:00,link,,,,,,,"Henry County, ALABAMA",31.4838041,-85.2447377
ALABAMA,Henry County Sheriff's Office,County,Henry County,Warrant Service Officer,2025-03-17 00:00:00,link,,,,,,,"Henry County, ALABAMA",31.4838041,-85.2447377
ALABAMA,Henry County Sheriff's Office,County,Henry County,Jail Enforcement Model,2025-03-17 00:00:00,link,,,,,,,"Henry County, ALABAMA",31.4838041,-85.2447377
ALABAMA,Houston County Sheriff's Office,County,Houston County,Jail Enforcement Model,2025-07-07 00:00:00,link,,,,,,,"Houston County, ALABAMA",31.1355603,-85.2654592
ALABAMA,Lauderdale County Sheriff's Office,County,Lauderdale County,Warrant Service Officer,2025-06-12 00:00:00,link,,,,,,,"Lauderdale County, ALABAMA",34.9049555,-87.6747398
ALABAMA,Lauderdale County Sheriff's Office,County,Lauderdale County,Jail Enforcement Model,2025-06-12 00:00:00,link,,,,,,,"Lauderdale County, ALABAMA",34.9049555,-87.6747398
ALABAMA,Lawrence County Sheriff's Office,County,Lawrence County,Task Force Model,2025-06-18 00:00:00,link,,,,,,,"Lawrence County, ALABAMA",34.4776367,-87.3017331
ALABAMA,Lawrence County Sheriff's Office,County,Lawrence County,Warrant Service Officer,2025-06-30 00:00:00,link,,,,,,,"Lawrence County, ALABAMA",34.4776367,-87.3017331
